Id,PostTypeId,Title,Body,Score,ViewCount,Tags
"101752","1","I ran into a merge conflict. How can I abort the merge?","<p>I used <code>git pull</code> and had a merge conflict. I know that the other version of the file is good and that mine is bad so all my changes should be abandoned. How do I do this?</p>

<pre><code>unmerged:   _widget.html.erb

You are in the middle of a conflicted merge.
</code></pre>
","1128","554121","<git><version-control><git-merge><merge-conflict-resolution>"
"16937359","1","GIT copy file preserving history","<p>I have a somewhat confusing question in GIT.
Lets say, I have a file <code>dir1/A.txt</code> committed and git preserves a history of commits</p>

<p>Now I need (for some reasons) to copy the file into <code>dir2/A.txt</code> (not move but copy).
I know that there is a <code>git mv</code> command but I need <code>dir2/A.txt</code> to have the same history of commits as <code>dir1/A.txt</code>, and <code>dir1/A.txt</code> to still remain there.</p>

<p>I'm not planning to update <code>A.txt</code> once the copy is created and all the future work will be done on <code>dir2/A.txt</code></p>

<p>I know it sounds confusing, I'll add that this situation is on java based module (mavenized project) and we need to create a new version of code so that our customers will have the ability to have 2 different versions in runtime, the first version will be removed eventually when the alignment will be done.
We can use maven versioning of course, I'm just newbie in GIT and curious about what git can provide here.</p>
","59","21241","<git><copy>"
"9591407","1","Unstage a deleted file in git","<p>Usually, to discard changes to a file you would do:</p>

<pre><code>git checkout -- &lt;file&gt;
</code></pre>

<p>What if the change I want to discard is deleting the file? The above line would give an error:</p>

<pre><code>error: pathspec '&lt;file&gt;' did not match any file(s) known to git.
</code></pre>

<p>What command will restore that single file without undoing other changes?</p>

<p><strong>bonus point:</strong> Also, what if the change I want to discard is <em>adding</em> a file? I would like to know how to unstage that change as well.</p>
","186","52914","<git><git-checkout>"
"4830056","1","GIT Discard any changes I've made to a branch","<p>I'm working in a branch (""design"") and I've made a number of changes but I need to discard them all and reset it to match the repository version. I thought <code>git checkout design</code> would do it, but it just tells me I'm already in branch 'design' and that I have 3 modified files.</p>

<p>How would I discard those changes and get the branch as it stands now on the remote server?</p>
","53","62100","<git><branch><rollback>"
"9599411","1","Differences between Git merge --squash and --no-commit","<p>As the title says, I am not really clear about the differences between a <code>git merge --squash</code> and a <code>git merge --no-commit</code>.</p>

<p>As far as I understand the help page for <code>git merge</code>, both commands would leave me in an updated working-tree, where it is still possible to edit and then to do a final commit (or multiple commits).</p>

<p>Could someone clarify the differences of those 2 options? When would I use one instead of the other?</p>
","35","20457","<git><merge><squash>"
"149198","1","Can I commit only parts of my code using SVN or Mercurial?","<p>I use Tortoise SVN usuallly, but I have been looking into Mercurial since it is a distributed revision control system. </p>

<p>What I am looking for, in both systems, is a tool that let me pick only parts of a file and commit them. If I want to do this now, I have to copy to a temp version of the file and keep only the changes I want to commit in the current version, and then copy the temp version to the current version again after committing. It's just such a hassle and the program should be able to do this for me.</p>

<p>I heard Git supports this, please let me know if this is correct.</p>
","34","7991","<git><svn><version-control><mercurial><tortoisesvn>"
"2389361","1","Undo a Git merge that hasn't been pushed yet?","<p>Within my master branch, I did a <code>git merge some-other-branch</code> locally, but never pushed the changes to origin master. I didn't mean to merge, so I'd like to undo it. When doing a <code>git status</code> after my merge, I was getting this message:</p>

<pre><code># On branch master
# Your branch is ahead of 'origin/master' by 4 commits.
</code></pre>

<p>Based upon some <a href=""http://www.gitready.com/intermediate/2009/03/16/rolling-back-changes-with-revert.html"">instructions I found</a>, I tried running</p>

<pre><code>git revert HEAD -m 1
</code></pre>

<p>but now I'm getting this message with <code>git status</code>:</p>

<pre><code># On branch master
# Your branch is ahead of 'origin/master' by 5 commits.
</code></pre>

<p>I don't want my branch to be ahead by any number of commits. How do I get back to that point?</p>
","2004","945817","<git><undo><git-merge>"
"7214039","1","How do you move a commit to the staging area in git?","<p>If you want to move a commit to the staging area - that is uncommit it and move all of the changes which were in it into the staging area (effectively putting the branch in the state that it would have been in prior to the commit) - how do you do it? Or is it something that you can't do?</p>

<p>The closest that I know how to do is to copy all of the files that were changed in the commit to somewhere else, reset the branch to the commit before the commit that you're trying to move into the staging area, move all of the copied files back into the repository, and then add them to the staging area. It works, but it's not exactly a nice solution. What I'd like to be able to do is just undo the commit and move its changing into the staging area. Can it be done? And if so, how?</p>
","37","7711","<git><commit><staging>"
"2397822","1","What is the best practice for dealing with passwords in github?","<p>I've got a little Bash script that I use to access twitter and pop up a Growl notification in certain situations. Whats the best way to handle storing my password with the script? </p>

<p>I would like to post this script on GitHub, but I'm wondering what the best way to keep my login/password private while doing this is. Currently the password is stored in the script itself. I can't remove it right before I push because all the old commits will contain the password. Developing without the password isn't an option. I imagine that I should be storing the password in an external config file, but I thought I'd check to see if there was an established way to handle this before I tried and put something together.</p>
","93","17740","<git><bash><github>"
"179123","1","Edit an incorrect commit message in Git","<p>I wrote the wrong thing in a commit message.</p>

<p>How can I change the message? The commit has not been pushed yet.</p>
","7688","1705489","<git><git-commit><git-rewrite-history><amend>"
